plate,latency_ms
ABC0320,29.804
ABC0321,30.135
ABC0322,30.193
ABC0323,30.315
ABC0324,30.723
ABC0325,30.766
ABC0326,30.828
ABC0327,31.072
ABC0328,31.026
ABC0329,31.013
ABC0330,30.934
ABC0331,31.231
ABC0332,31.434
ABC0333,31.444
ABC0334,31.491
ABC0335,31.528
ABC0336,31.577
ABC0337,31.533
ABC0338,31.367
ABC0339,31.431
ABC0340,31.699
ABC0341,31.634
ABC0342,31.636
ABC0343,31.728
ABC0344,31.746
ABC0345,31.922
ABC0346,31.816
ABC0347,31.787
ABC0348,31.947
ABC0349,31.825
ABC0350,32.027
ABC0351,32.174
ABC0352,32.103
ABC0353,32.095
ABC0354,32.290
ABC0355,32.573
ABC0356,32.429
ABC0357,32.443
ABC0358,32.549
ABC0359,32.525
ABC0360,32.588
ABC0361,32.551
ABC0362,32.507
ABC0363,32.545
ABC0364,32.537
ABC0365,32.421
ABC0366,32.489
ABC0367,32.352
ABC0368,32.310
ABC0369,32.297
ABC0370,32.334
ABC0371,32.361
ABC0372,32.238
ABC0373,32.315
ABC0374,32.446
ABC0375,32.346
ABC0376,32.168
